Open,High,Low,Volume,Close
9010.5,9583.7,8814.9,57483820,9500.43
9500.43,9854.05,9389.21,71716696,9422.71
9422.71,9422.71,9004.7,27166008,9172.94
9172.94,9482.07,9020.22,32228300,9346.52
9346.52,9346.52,8957.32,36514268,9185.45
9185.45,9340.62,9023.12,37947608,9200.59
9301.95,9517.89,9208.31,36296952,9437.21
9437.21,9530.08,9321.06,18066666,9467.07
9467.07,9467.07,9098.82,27062096,9137.44
9137.44,10206.31,9137.44,71101632,10198.15
10198.15,10367.55,9854.66,59871104,10007.3
10007.3,10571.96,9851.83,70385808,10560.43
10560.43,10884.96,10421.38,84236000,10861.04
10861.04,11591.55,10861.04,130123144,11539.99
11539.99,11663.06,11150.22,93720048,11264.89
11264.89,11264.89,10844.22,55956344,10964.89
10964.89,10964.89,10344.87,49940004,10425.63
10425.63,10672.2,10242.18,56276932,10505.11
10505.11,11060.52,10487.62,88815800,10944.75
10944.75,11359.64,10636.13,88052576,10927.92
10927.92,11443.96,10775.23,95043960,11400.7
11400.7,11479.6,11003.61,62129800,11093.73
11093.73,11093.73,10617.4,51633572,10882.97
10882.97,11322.67,10683.18,91235992,10884.58
10884.58,11028.69,10693.42,49318760,10980.43
10980.43,11087.17,10674.54,52097100,10742.79
10742.79,10742.79,10262.29,48619072,10607.66
10607.66,10607.66,10315.91,41962428,10421.07
10421.07,10685.07,10307.07,45167448,10685.07
10685.07,10784.4,10503.61,59669328,10638.23
10638.23,10898.25,10380.76,52485244,10546.66
10546.66,10546.66,9884.2,45410356,9952.59
9952.59,10247.79,9648.02,49374268,10187.21
10187.21,10187.21,9705.55,46718624,9724.09
9724.09,10210.05,9502.55,64716408,9658.9
9658.9,9676.46,9266.51,53012096,9545.86
9545.86,9545.86,8942.55,34205792,9075.33
9075.33,9433.48,9012.95,51438928,9385.06
9385.06,10021.94,9385.06,70625280,9971.69
9971.69,10066.34,9617.31,53177096,9763.9
9763.9,10220.02,9585.61,72609896,10169.5
10169.5,10169.5,8528.41,117316920,8683.01
8683.01,9010.4,8082.38,103811288,8768.52
8768.52,8768.52,7165.03,63649552,7180.6
7180.6,8358.16,6796.94,173125824,7890.4
7890.4,8399.54,7737.89,102559136,8344.94
8344.94,9137.6,8344.94,65915276,8880.33
8880.33,8909.21,8418.14,63492616,8665.88
8665.88,8795.66,8375.9,51426292,8791.6
8791.6,9468.02,8791.6,63693120,9406.65
9406.65,9722.88,9256.9,79028456,9513.77
9513.77,9648.46,8586.62,52450460,8647.01
8647.01,8647.01,8013.9,64883444,8484.46
8484.46,8591.96,8098.05,66624428,8150.78
8150.78,8525.4,7929.49,54975332,8525.4
8525.4,8888.69,8442.64,69964120,8763.42
8763.42,9038.02,8473.35,54983500,8522.41
8522.41,8918.5,8522.41,64683228,8860.57
8860.57,8994.1,8583.4,64590972,8629.21
8629.21,8645.57,8246.22,53522272,8402.85
8402.85,8500.96,8290.48,31290206,8365.64
8365.64,8461.39,8256.38,31669434,8331.29
8331.29,8331.29,7906.39,37253156,7959.69
7959.69,7959.69,7239.93,42800548,7614.78
7614.78,7614.78,7068.51,44167016,7159.66
7159.66,8036.01,7159.66,76370648,8022.72
8022.72,8096.89,7757.59,45077600,7855.67
7855.67,8031.4,7682.17,57327096,7806.12
7806.12,8212.07,7702.78,66817948,8117.75
8117.75,8479.63,8029.89,86344264,8457.15
8457.15,8541.9,8140.27,70803312,8236.8
8236.8,8598.65,8202.55,61949924,8359.55
8359.55,8400.01,8066.77,49926760,8312.17
8312.17,8657.84,8312.17,57768460,8657.84
8657.84,9082.0,8586.45,108056520,9026.32
9026.32,9161.78,8870.91,88386288,8940.25
8940.25,9420.0,8876.13,99721632,9378.99
9378.99,9380.38,8861.59,94707584,9057.84
9057.84,9279.96,8961.64,78232696,9069.85
9069.85,9493.2,9069.85,83406240,9448.61
9448.61,9691.37,9365.37,97914936,9658.35
9658.35,10204.31,9658.35,125563176,10131.1
10131.1,10439.03,10016.15,119417560,10113.01
10113.01,10907.17,9983.14,166710000,10890.07
10890.07,12630.08,10890.07,197702016,12363.01
12363.01,13073.07,12091.63,168667696,12367.36
12367.36,12473.52,11887.93,172941744,12093.41
12093.41,12093.41,11683.34,110546576,12008.54
12008.54,12934.15,11838.78,186679312,12829.84
12829.84,13328.56,12401.01,170208624,12529.69
12529.69,13028.23,12107.71,95212056,12203.45
12203.45,12814.44,12104.57,115924544,12727.95
12727.95,12727.95,12101.62,75294176,12276.33
12276.33,12858.5,12015.8,101149752,12143.29
12143.29,12143.29,11595.62,75285464,11779.31
11779.31,12008.11,11522.92,81337784,11896.35
11896.35,12082.39,11511.68,75110856,11572.45
11572.45,12459.91,11572.45,139602944,12298.73
12298.73,12738.48,12210.64,110734472,12373.47
